liking,trust,anger,sadness,fear
great,encouraging,pain,unhealthy,disturbing
love,encourage,kill,fail,scam
excellent,ideal,hate,ruin,hell
best,kudos,disgusting,depression,
awesome,confidence,loser,weep,
amazing,comfortable,pissed,harm,
super,thankful,killing,abuse,
perfect,flawless,,sick,
wonderful,congratulations,,,
fantastic,perfection,,,
loved,,,,
happy,,,,
superb,,,,
free,,,,
brilliant,,,,
lovely,,,,
beautiful,,,,
outstanding,,,,
trust,,,,
inspiration,,,,
inspirational,,,,
marvelous,,,,
success,,,,
honest,,,,
gain,,,,
pleasure,,,,
delight,,,,
happiness,,,,
cheering,,,,
splendid,,,,
enjoyment,,,,
inspire,,,,
winner,,,,
adore,,,,
tops,,,,
jolly,,,,
fascinating,,,,
amaze,,,,
magnificent,,,,
