liking,trust,anger,sadness,fear
great,comfortable,hate,depression,stressful
love,thankful,anger,suffer,panic
free,encouraging,pain,fail,scam
amazing,encourage,angry,sick,hell
best,kudos,disgusting,disappointment,disturbing
awesome,ideal,kill,distress,hurt
excellent,confidence,pissed,disgusted,fraud
wonderful,praise,cancer,harm,horror
loved,congratulations,crappy,ruin,horrendous
perfect,flawless,hurt,unhealthy,troubling
fantastic,perfection,idiot,abuse,dreaded
brilliant,,failure,insult,danger
happy,,rage,rejection,horrific
super,,killing,sorrow,threat
beautiful,,disaster,puke,
lovely,,horror,gloom,
superb,,lousy,destroy,
happiness,,furious,scandalous,
trust,,anguish,bankrupt,
honest,,irritation,misery,
success,,spite,doomed,
gain,,curse,,
outstanding,,torture,,
adore,,sucker,,
pleasure,,rotten,,
delightful,,rape,,
enjoyment,,shitty,,
inspiration,,wicked,,
bliss,,disgust,,
inspirational,,assault,,
rage,,unprofessional,,
splendid,,harassed,,
fascinating,,loser,,
marvelous,,stinking,,
cheerful,,,,
brilliance,,,,
inspire,,,,
delight,,,,
prize,,,,
beloved,,,,
blissful,,,,
magnificent,,,,
tops,,,,
dearest,,,,
cheer,,,,
amaze,,,,
winner,,,,
winning,,,,
glorious,,,,
divine,,,,
jolly,,,,
euphoria,,,,
merry,,,,
